features,nn,acc_mean,acc_std,f1_mean,f1_std,above_73,norm_above_73,acc_mean_above_73
X1,1,0.5462153846153845,0.12220516651064098,0.45402181257102336,0.30443350352074683,0.07,0.06630327880521059,0.0
X1,2,0.4808461538461538,0.07886333771470086,0.12252066003550383,0.24894080469829405,0.02,0.0007907119450112354,0.0
X1,3,0.5317846153846154,0.11889774235070519,0.3265158200685416,0.3302440522183169,0.06,0.04774645985284098,0.0
X1,4,0.5091076923076923,0.10496991510391478,0.21675516519812857,0.31606520952452066,0.03,0.01767443424710513,0.0
X1,5,0.5814461538461538,0.13048889771178046,0.5069271815530318,0.2831582298568987,0.12,0.1274682950528191,0.0
X1,6,0.5442153846153845,0.11374415805272928,0.36623255269130917,0.3256472661237853,0.05,0.051197153631488135,0.0
X1,7,0.6000923076923077,0.09678007032356568,0.5672394823187776,0.24163369219833494,0.08,0.08974970006018701,0.0
X1,8,0.5788615384615384,0.11546307486293934,0.4820656302952504,0.2952424554859988,0.07,0.09527114102690093,0.0
X1,9,0.6199538461538462,0.10011034267276868,0.6167570992373154,0.18638068786761408,0.12,0.13582982312257408,0.0
X1,10,0.6002923076923077,0.10934094010676858,0.5369852377115982,0.26889685674212144,0.12,0.11775817848187342,0.0
X1,11,0.6329538461538461,0.09205482801541015,0.6441385627132555,0.1426414225790615,0.14,0.14589082162803835,0.0
X1,12,0.6188,0.0948128221423851,0.5938630127942914,0.21452994103929743,0.12,0.12043055885325171,0.0
X1,13,0.6342615384615384,0.08389705018405474,0.6547614733882433,0.10628016557995709,0.13,0.12690538344080426,0.0
X1,14,0.6384461538461538,0.08977591959787977,0.6453181152836155,0.14316079896185738,0.15,0.15391070166836895,0.0
X1,15,0.6382615384615383,0.08311812511055269,0.6564431481949182,0.10673986294376278,0.13,0.1348590718209972,0.0
X3,1,0.48004615384615384,0.08620148545515069,0.39625079511535644,0.22062215300150118,0.0,0.001867917869602831,0.0
X3,2,0.484523076923077,0.05922410352103122,0.1811466736864637,0.2089947713634962,0.0,1.699943404198656e-05,0.0
X3,3,0.5225384615384615,0.08681269369730586,0.4357299119752453,0.20058463018714937,0.0,0.008429683539337929,0.0
X3,4,0.5013846153846154,0.08358349827227832,0.31755479381652835,0.21341356902956993,0.0,0.003117368491030059,0.0
X3,5,0.5240615384615385,0.08471812503861953,0.455358145773005,0.20468448498391748,0.0,0.00753137939245041,0.0
X3,6,0.5142615384615385,0.07812017899917988,0.3857786543965462,0.21109364149273485,0.0,0.0028757448262096696,0.0
X3,7,0.5327692307692309,0.08508944128240284,0.4979426224840633,0.1686860606413737,0.01,0.010226754307303021,0.0
X3,8,0.5219076923076924,0.07128412024298658,0.42651928381734083,0.18577670216987763,0.0,0.00175467835076204,0.0
X3,9,0.5302769230769232,0.08433123758807347,0.5065921269800547,0.1689332499405205,0.01,0.008934616635692172,0.0
X3,10,0.5288307692307693,0.07947896003822268,0.47213112840948207,0.16923686019949305,0.0,0.005685264156450098,0.0
X3,11,0.5339076923076923,0.07247571966409441,0.5291500996797923,0.13107731530702554,0.0,0.0034087725145832692,0.0
X3,12,0.5424923076923077,0.07392616818958808,0.5031575862983881,0.13392690745042737,0.0,0.0055996421747249725,0.0
X3,13,0.5454461538461539,0.07363091066880241,0.5577871223576,0.10030111431080713,0.01,0.006097128692440945,0.0
X3,14,0.5662461538461538,0.07447546595749369,0.5464615692752024,0.10823205799295627,0.01,0.013947414557313187,0.0
X3,15,0.5485846153846154,0.07976420279384279,0.5575276555892221,0.10901339590411267,0.02,0.011471093552867129,0.0
X5,1,0.5232615384615386,0.0934081278219153,0.47994116956476723,0.21798374229046813,0.0,0.013439129398188698,0.0
X5,2,0.5152307692307694,0.08901259800472233,0.35689699441334083,0.22018676277643492,0.0,0.007915341002453391,0.0
