features,model,acc_mean,acc_std,f1_mean,f1_std,above_73,norm_above_73,acc_mean_above_73
X1,Gaussian,0.5882000000000001,0.057789274408720434,0.6838302040010421,0.06577942869639986,0.0,0.007068908479059832,0.0
X3,Gaussian,0.531676923076923,0.07151880457812493,0.6458456105615592,0.09038354763472177,0.0,0.002776935189172103,0.0
X5,Gaussian,0.5875692307692308,0.07083932314853109,0.6708346899283087,0.07621272231843007,0.0,0.02218294721130265,0.0
X6,Gaussian,0.6063538461538461,0.06364794255681779,0.7137377113581549,0.0484494712009106,0.02,0.026028776412346577,0.0
mean,Gaussian,0.5492307692307693,0.09163653440560607,0.6358784497567711,0.09539952499200091,0.0,0.024266219983795523,0.0
F_w_mean,Gaussian,0.5623384615384616,0.07922926958998999,0.6399444870391859,0.07520769974659511,0.0,0.017165747264279885,0.0
above_4,Gaussian,0.6348615384615385,0.05839600375400589,0.7223196529810686,0.0454808096666602,0.06,0.0516359011804467,0.0
above_5,Gaussian,0.5600615384615386,0.08575675521548584,0.5698384436239539,0.1017744790277193,0.04,0.023760135808994165,0.0
count_3,Gaussian,0.610076923076923,0.06476406886063148,0.7042431140817713,0.05442928576779061,0.04,0.0320350664161162,0.0
count_5,Gaussian,0.5600615384615386,0.08575675521548584,0.5698384436239539,0.1017744790277193,0.04,0.023760135808994165,0.0
"X1,X3",Gaussian,0.5667384615384615,0.07140675386153204,0.645111499725076,0.0764052621457016,0.01,0.011116606186018507,0.0
"X1,X5",Gaussian,0.5690615384615384,0.0805906876438664,0.6372527242304659,0.084656171839924,0.0,0.022913360967978136,0.0
"X1,X6",Gaussian,0.5908923076923077,0.08480361720542504,0.6617682170488435,0.09425861025238838,0.04,0.05046611095629905,0.0
"X1,mean",Gaussian,0.5786769230769231,0.07704667608572084,0.6488272135567205,0.07957410045753875,0.01,0.024762483449012884,0.0
"X1,F_w_mean",Gaussian,0.5842923076923078,0.07351698914065845,0.6469908126257932,0.0774704864597016,0.0,0.02374188891411011,0.0
"X1,above_4",Gaussian,0.5992000000000001,0.07136653617212413,0.6866287814062028,0.06782913788465673,0.02,0.033416771925462,0.0
"X1,above_5",Gaussian,0.6170923076923077,0.07837790263398081,0.6477975260933245,0.08257487880905227,0.05,0.07485519757668935,0.0
"X1,count_3",Gaussian,0.5882,0.07051393919858524,0.6731541300385114,0.0655293365184941,0.02,0.022165373656312326,0.0
"X1,count_5",Gaussian,0.6170923076923077,0.07837790263398081,0.6477975260933245,0.08257487880905227,0.05,0.07485519757668935,0.0
"X3,X5",Gaussian,0.5896,0.08099941412601326,0.6551651376424981,0.07804292629876962,0.01,0.04151710615613835,0.0
"X3,X6",Gaussian,0.5547692307692308,0.08562447252893292,0.6362742523546084,0.08781044698797226,0.01,0.02035343697244285,0.0
"X3,mean",Gaussian,0.5635692307692308,0.08311733490040898,0.6200424758414741,0.09035294657720681,0.03,0.02262305078255833,0.0
"X3,F_w_mean",Gaussian,0.564323076923077,0.07644519094707601,0.6332767106856078,0.07872704620031021,0.0,0.015107358556835204,0.0
"X3,above_4",Gaussian,0.6106923076923076,0.08334525752952428,0.6808001326469386,0.08297021720304147,0.04,0.07614527695479445,0.0
"X3,above_5",Gaussian,0.5746461538461539,0.0764949563252066,0.5646815642470578,0.11520771186111961,0.04,0.021132411159613396,0.0
"X3,count_3",Gaussian,0.5965692307692306,0.07903975630607091,0.6663349663645746,0.08121794270459914,0.02,0.0456914564157328,0.0
"X3,count_5",Gaussian,0.5746461538461539,0.0764949563252066,0.5646815642470578,0.11520771186111961,0.04,0.021132411159613396,0.0
"X5,X6",Gaussian,0.5672461538461538,0.08081838650723694,0.6440161689405902,0.08056368331912539,0.0,0.02201411162718403,0.0
"X5,mean",Gaussian,0.5900000000000001,0.0854361590786156,0.6625536832099078,0.07858912215615083,0.05,0.05064304013804832,0.0
"X5,F_w_mean",Gaussian,0.5716615384615386,0.08133477607282488,0.6438620739562971,0.07857213711063028,0.02,0.025782367166530484,0.0
"X5,above_4",Gaussian,0.6066461538461538,0.07771070003164483,0.6742551602738156,0.07342472839230386,0.03,0.05621703855176985,0.0
"X5,above_5",Gaussian,0.5696769230769232,0.07694439550740521,0.5969859732997718,0.10490802673924847,0.02,0.018597257473202733,0.0
"X5,count_3",Gaussian,0.5938615384615384,0.07648165499187277,0.6548892337140415,0.07601613823884486,0.01,0.03753678672616778,0.0
"X5,count_5",Gaussian,0.5696769230769232,0.07694439550740521,0.5969859732997718,0.10490802673924847,0.02,0.018597257473202733,0.0
"X6,mean",Gaussian,0.5501999999999999,0.08944209855589728,0.6126499692401937,0.09846618718748171,0.02,0.022202946672103985,0.0
"X6,F_w_mean",Gaussian,0.5710307692307692,0.08884746718976014,0.6355124669249765,0.08844204168204202,0.01,0.03678827768404547,0.0
"X6,above_4",Gaussian,0.6058615384615385,0.07001730808844812,0.6835827415553034,0.07106610365546097,0.02,0.03811698719029033,0.0
"X6,above_5",Gaussian,0.5518,0.083220120177556,0.5709989198067039,0.09567414072688848,0.0,0.01612456019432562,0.0
"X6,count_3",Gaussian,0.5977230769230769,0.07939489498143082,0.6815767782280716,0.07156697399537923,0.04,0.04785040071182456,0.0
"X6,count_5",Gaussian,0.5518,0.083220120177556,0.5709989198067039,0.09567414072688848,0.0,0.01612456019432562,0.0
"mean,F_w_mean",Gaussian,0.5674153846153847,0.08346359586262461,0.6277276863338356,0.09092885812952026,0.01,0.025709251683416534,0.0
"mean,above_4",Gaussian,0.5862307692307692,0.0845365716874225,0.6514440478097465,0.09125621810477987,0.03,0.044502019696407435,0.0
"mean,above_5",Gaussian,0.5493846153846154,0.08358321509821125,0.558669955619704,0.1015904835246605,0.02,0.015351340596716279,0.0
"mean,count_3",Gaussian,0.5944307692307691,0.07131355216151761,0.6541687960632528,0.08200479298231603,0.0,0.028649015268194855,0.0
"mean,count_5",Gaussian,0.5493846153846154,0.08358321509821125,0.558669955619704,0.1015904835246605,0.02,0.015351340596716279,0.0
"F_w_mean,above_4",Gaussian,0.5956307692307693,0.08118871871964281,0.6614169959789885,0.08154787726551535,0.03,0.048959873852240654,0.0
"F_w_mean,above_5",Gaussian,0.5796769230769231,0.08171397510714218,0.6048943265681015,0.09874750599244865,0.02,0.0329116507981807,0.0
"F_w_mean,count_3",Gaussian,0.5876923076923076,0.07603238176542333,0.6537204803815225,0.07413369985068033,0.01,0.030625986622620505,0.0
"F_w_mean,count_5",Gaussian,0.5796769230769231,0.08171397510714218,0.6048943265681015,0.09874750599244865,0.02,0.0329116507981807,0.0
"above_4,above_5",Gaussian,0.5566769230769231,0.08670666593267073,0.6054444690194187,0.09301408707737316,0.01,0.022806390904968943,0.0
"above_4,count_3",Gaussian,0.623876923076923,0.06124834691646788,0.699070080336046,0.058553041478642064,0.04,0.041577309664186046,0.0
"above_4,count_5",Gaussian,0.5566769230769231,0.08670666593267073,0.6054444690194187,0.09301408707737316,0.01,0.022806390904968943,0.0
"above_5,count_3",Gaussian,0.5705692307692307,0.08118170283838376,0.6026519429754572,0.10032339646046767,0.01,0.024772257299485068,0.0
"above_5,count_5",Gaussian,0.5382153846153847,0.07777397687716593,0.4932746181304587,0.13825301287745578,0.02,0.006833041061874656,0.0
"count_3,count_5",Gaussian,0.5705692307692307,0.08118170283838376,0.6026519429754572,0.10032339646046767,0.01,0.024772257299485068,0.0
"X1,X3,X5",Gaussian,0.5643384615384616,0.07813730291294214,0.6276889706473695,0.07700066074267244,0.0,0.016997380805322204,0.0
"X1,X3,X6",Gaussian,0.5579538461538462,0.09148118570109434,0.6261649699917547,0.09025192956408071,0.03,0.03000823867242619,0.0
"X1,X3,mean",Gaussian,0.5540307692307691,0.07751595521961571,0.621524704269241,0.07645943815120665,0.02,0.011600656116240393,0.0
"X1,X3,F_w_mean",Gaussian,0.5631384615384615,0.07408101115007645,0.6251924777687082,0.07633752771884032,0.01,0.012147876908586097,0.0
"X1,X3,above_4",Gaussian,0.5857846153846155,0.07733983105396353,0.6589693366765771,0.07763378362129553,0.02,0.03111191323632878,0.0
"X1,X3,above_5",Gaussian,0.5968769230769231,0.07583303209945155,0.6291258973391609,0.08457540344344694,0.02,0.03958895094722015,0.0
"X1,X3,count_3",Gaussian,0.5846461538461538,0.07848807394425786,0.6553829488813997,0.07587633301551429,0.02,0.03201846157352162,0.0
"X1,X3,count_5",Gaussian,0.5968769230769231,0.07583303209945155,0.6291258973391609,0.08457540344344694,0.02,0.03958895094722015,0.0
"X1,X5,X6",Gaussian,0.5647384615384615,0.09073498180457701,0.628150814762732,0.09265568887100352,0.0,0.03427568056466168,0.0
"X1,X5,mean",Gaussian,0.5691076923076923,0.0813212433216845,0.6262446802720036,0.08759954388300632,0.0,0.023937392350956932,0.0
"X1,X5,F_w_mean",Gaussian,0.5643076923076923,0.07844796262642317,0.6271457270717123,0.08109249231713096,0.0,0.0173376434657746,0.0
"X1,X5,above_4",Gaussian,0.5892769230769231,0.08663340569461944,0.6490803254943057,0.08633630964816365,0.04,0.05215043736855862,0.0
"X1,X5,above_5",Gaussian,0.5793846153846154,0.07529382287620685,0.6067193177485618,0.08720916763827614,0.01,0.022730248559072685,0.0
"X1,X5,count_3",Gaussian,0.5854153846153846,0.08202885334481452,0.6440641519884944,0.08133019621188918,0.02,0.038983414000396954,0.0
"X1,X5,count_5",Gaussian,0.5793846153846154,0.07529382287620685,0.6067193177485618,0.08720916763827614,0.01,0.022730248559072685,0.0
"X1,X6,mean",Gaussian,0.5722923076923077,0.09000052465330313,0.629374626131641,0.09240528162930454,0.04,0.039861334801289394,0.0
"X1,X6,F_w_mean",Gaussian,0.5715384615384614,0.08531695170668435,0.6286637392365657,0.08634737462247079,0.0,0.03163227224860077,0.0
"X1,X6,above_4",Gaussian,0.6052307692307692,0.08846408023104214,0.6755885943399177,0.08366845869546098,0.06,0.07921165001600439,0.0
"X1,X6,above_5",Gaussian,0.5806461538461538,0.07562040988074942,0.6086429786311285,0.08459324060353385,0.01,0.02413142042706984,0.0
"X1,X6,count_3",Gaussian,0.5846,0.0844410778075563,0.6543853622367655,0.08077201174865017,0.03,0.042542843249556705,0.0
"X1,X6,count_5",Gaussian,0.5806461538461538,0.07562040988074942,0.6086429786311285,0.08459324060353385,0.01,0.02413142042706984,0.0
"X1,mean,F_w_mean",Gaussian,0.5710923076923077,0.08207033929329144,0.6281293807963494,0.08230773968091482,0.01,0.026419292091497182,0.0
"X1,mean,above_4",Gaussian,0.5960923076923076,0.07580617451550076,0.6683003365248997,0.07304654628956674,0.03,0.0386603293253287,0.0
"X1,mean,above_5",Gaussian,0.6027846153846154,0.07935559845352538,0.6305818828720582,0.09177778071651208,0.05,0.0544556982737342,0.0
"X1,mean,count_3",Gaussian,0.5889692307692308,0.07656997573090873,0.6568256376653728,0.07623012976672859,0.02,0.03274820359774344,0.0
"X1,mean,count_5",Gaussian,0.6027846153846154,0.07935559845352538,0.6305818828720582,0.09177778071651208,0.05,0.0544556982737342,0.0
"X1,F_w_mean,above_4",Gaussian,0.5961538461538463,0.07396544851459022,0.6628152028729485,0.0713640107697477,0.0,0.03518072626142177,0.0
"X1,F_w_mean,above_5",Gaussian,0.6096307692307692,0.07643309175215209,0.6417880953561976,0.0811838229145732,0.04,0.057647686447165225,0.0
"X1,F_w_mean,count_3",Gaussian,0.5801999999999999,0.0741952182704599,0.6444295492827341,0.07390524115586233,0.01,0.021743711797396092,0.0
"X1,F_w_mean,count_5",Gaussian,0.6096307692307692,0.07643309175215209,0.6417880953561976,0.0811838229145732,0.04,0.057647686447165225,0.0
"X1,above_4,above_5",Gaussian,0.5806461538461538,0.0769108236394554,0.6335281858858783,0.08318255809396084,0.02,0.026074038743518213,0.0
"X1,above_4,count_3",Gaussian,0.6020615384615384,0.07049452368675517,0.6747315305868249,0.07135457637618525,0.03,0.03477187367961165,0.0
"X1,above_4,count_5",Gaussian,0.5806461538461538,0.0769108236394554,0.6335281858858783,0.08318255809396084,0.02,0.026074038743518213,0.0
"X1,above_5,count_3",Gaussian,0.5815230769230768,0.07407128982494743,0.6207960160124004,0.08120019567587301,0.02,0.022507524758648922,0.0
"X1,above_5,count_5",Gaussian,0.5875846153846154,0.0850108952293311,0.5974352898977324,0.1072248444328561,0.03,0.04694157772669105,0.0
"X1,count_3,count_5",Gaussian,0.5815230769230768,0.07407128982494743,0.6207960160124004,0.08120019567587301,0.02,0.022507524758648922,0.0
"X3,X5,X6",Gaussian,0.5653846153846154,0.08369358030706647,0.6331684386763041,0.07850801219792122,0.01,0.02459841634608151,0.0
"X3,X5,mean",Gaussian,0.5926923076923076,0.08604481424915507,0.6498277271803912,0.08376353167642145,0.05,0.05527012988492763,0.0
"X3,X5,F_w_mean",Gaussian,0.5828769230769231,0.0847692740471759,0.6453451903281687,0.08012178582274977,0.01,0.041319876215843765,0.0
"X3,X5,above_4",Gaussian,0.6098307692307693,0.07825913410590432,0.666175975894528,0.07586614883899932,0.02,0.062326874233633145,0.0
"X3,X5,above_5",Gaussian,0.5945384615384616,0.0829601387136293,0.6075619071601525,0.09675127018879358,0.04,0.05125017778376062,0.0
"X3,X5,count_3",Gaussian,0.6074461538461537,0.0758203170223706,0.660562592650377,0.07891212318545522,0.04,0.05300694181664223,0.0
"X3,X5,count_5",Gaussian,0.5945384615384616,0.0829601387136293,0.6075619071601525,0.09675127018879358,0.04,0.05125017778376062,0.0
"X3,X6,mean",Gaussian,0.5335384615384615,0.09103221355830828,0.5909580423445587,0.0965475101842574,0.0,0.015457929115541447,0.0
"X3,X6,F_w_mean",Gaussian,0.5690615384615385,0.08489238436442295,0.6317830197945479,0.08305675823103861,0.01,0.028993653662011343,0.0
"X3,X6,above_4",Gaussian,0.5916,0.08191044900868713,0.6566824016688669,0.08263771114681012,0.04,0.04554745561378437,0.0
"X3,X6,above_5",Gaussian,0.5443076923076924,0.08511071800617492,0.5650170544789748,0.09623342667580242,0.0,0.014563127256920883,0.0
"X3,X6,count_3",Gaussian,0.5786,0.0826444856352628,0.6467466561219771,0.08221041097819787,0.04,0.03347994486041084,0.0
"X3,X6,count_5",Gaussian,0.5443076923076924,0.08511071800617492,0.5650170544789748,0.09623342667580242,0.0,0.014563127256920883,0.0
"X3,mean,F_w_mean",Gaussian,0.5666307692307693,0.08306002534703977,0.6207208035587725,0.09065412436660363,0.01,0.02459843445671639,0.0
"X3,mean,above_4",Gaussian,0.5947538461538462,0.08858602478372224,0.6503799546727346,0.09125243715291344,0.04,0.06341518825156855,0.0
"X3,mean,above_5",Gaussian,0.5766923076923078,0.07995512794816291,0.581534810591985,0.09831197519640243,0.03,0.027592193804761633,0.0
"X3,mean,count_3",Gaussian,0.5897692307692307,0.08550397063343222,0.6368207808006535,0.09322189408644131,0.02,0.050497407281053786,0.0
"X3,mean,count_5",Gaussian,0.5766923076923078,0.07995512794816291,0.581534810591985,0.09831197519640243,0.03,0.027592193804761633,0.0
"X3,F_w_mean,above_4",Gaussian,0.5903692307692308,0.07744702178542408,0.651314356988353,0.07766588688502546,0.02,0.035700405263067836,0.0
"X3,F_w_mean,above_5",Gaussian,0.563323076923077,0.08308709909187442,0.5875365449864796,0.09955563292559975,0.02,0.02242542605407627,0.0
"X3,F_w_mean,count_3",Gaussian,0.5916461538461539,0.07391895610062359,0.648588239279346,0.07921799293336254,0.01,0.030624306951119618,0.0
"X3,F_w_mean,count_5",Gaussian,0.563323076923077,0.08308709909187442,0.5875365449864796,0.09955563292559975,0.02,0.02242542605407627,0.0
"X3,above_4,above_5",Gaussian,0.558953846153846,0.08519990554763217,0.5929752412057809,0.09747287954979485,0.04,0.02234364159259794,0.0
"X3,above_4,count_3",Gaussian,0.6095846153846154,0.07580755922401775,0.6729592802257249,0.07842320166539697,0.02,0.056093997784878113,0.0
"X3,above_4,count_5",Gaussian,0.558953846153846,0.08519990554763217,0.5929752412057809,0.09747287954979485,0.04,0.02234364159259794,0.0
"X3,above_5,count_3",Gaussian,0.5662307692307692,0.08843956248771107,0.5825995672496084,0.10614694699772809,0.04,0.03202983300063744,0.0
"X3,above_5,count_5",Gaussian,0.5781999999999999,0.07434066954183957,0.5271260013300146,0.11539573755249168,0.02,0.020578199060665936,0.0
"X3,count_3,count_5",Gaussian,0.5662307692307692,0.08843956248771107,0.5825995672496084,0.10614694699772809,0.04,0.03202983300063744,0.0
"X5,X6,mean",Gaussian,0.568923076923077,0.08896991047772389,0.6334181484774943,0.08839325452786963,0.02,0.03511184135292511,0.0
"X5,X6,F_w_mean",Gaussian,0.5717538461538462,0.0887505699623335,0.6375262340330267,0.08532007459237649,0.02,0.03728958654805814,0.0
"X5,X6,above_4",Gaussian,0.5832153846153847,0.0813562826936421,0.6430233970631869,0.08039282736361741,0.02,0.0355984289586847,0.0
"X5,X6,above_5",Gaussian,0.5469538461538462,0.08423733167270482,0.56996017365706,0.10118221426032789,0.01,0.014890859085412433,0.0
"X5,X6,count_3",Gaussian,0.5928307692307692,0.08207983413480825,0.6490310945441994,0.07861856381854716,0.01,0.04734420316228838,0.0
"X5,X6,count_5",Gaussian,0.5469538461538462,0.08423733167270482,0.56996017365706,0.10118221426032789,0.01,0.014890859085412433,0.0
"X5,mean,F_w_mean",Gaussian,0.5911846153846154,0.08282750450761256,0.6500265450318353,0.08432863750651576,0.01,0.04687325024522626,0.0
"X5,mean,above_4",Gaussian,0.6101384615384616,0.08319879806824135,0.6702536475761295,0.0793916770950552,0.06,0.07483977213983839,0.0
"X5,mean,above_5",Gaussian,0.5660769230769231,0.08918311061481828,0.5903243291239881,0.10578905440925575,0.03,0.033027469017745004,0.0
"X5,mean,count_3",Gaussian,0.6086615384615385,0.0738864169083215,0.6615914713162154,0.07421294226777671,0.05,0.05027121435323767,0.0
"X5,mean,count_5",Gaussian,0.5660769230769231,0.08918311061481828,0.5903243291239881,0.10578905440925575,0.03,0.033027469017745004,0.0
"X5,F_w_mean,above_4",Gaussian,0.5983230769230768,0.07847604541605044,0.6612775132808673,0.0758106621637566,0.02,0.04668086499209023,0.0
"X5,F_w_mean,above_5",Gaussian,0.5756153846153846,0.08619322589014239,0.6175279747356792,0.09265193274555267,0.03,0.036634968400945156,0.0
"X5,F_w_mean,count_3",Gaussian,0.5952307692307692,0.07277475991353988,0.6505714179789208,0.07379584452096419,0.02,0.032022408106751055,0.0
"X5,F_w_mean,count_5",Gaussian,0.5756153846153846,0.08619322589014239,0.6175279747356792,0.09265193274555267,0.03,0.036634968400945156,0.0
"X5,above_4,above_5",Gaussian,0.5902615384615384,0.08191294411874832,0.6359768345107022,0.0894490880308781,0.03,0.04400974654008083,0.0
"X5,above_4,count_3",Gaussian,0.6102769230769232,0.07112481902723412,0.6690189355595417,0.07310500670539503,0.02,0.04616032559130656,0.0
"X5,above_4,count_5",Gaussian,0.5902615384615384,0.08191294411874832,0.6359768345107022,0.0894490880308781,0.03,0.04400974654008083,0.0
"X5,above_5,count_3",Gaussian,0.5886461538461538,0.0772748204127482,0.6224573722091918,0.08561084401417929,0.02,0.03368216686868686,0.0
"X5,above_5,count_5",Gaussian,0.5859076923076924,0.08116451843788909,0.5599832112669137,0.10368852056611647,0.04,0.03792322900797429,0.0
"X5,count_3,count_5",Gaussian,0.5886461538461538,0.0772748204127482,0.6224573722091918,0.08561084401417929,0.02,0.03368216686868686,0.0
"X6,mean,F_w_mean",Gaussian,0.5646153846153846,0.0913794352326165,0.6233032107355778,0.09290634319346608,0.01,0.035158214936995114,0.0
"X6,mean,above_4",Gaussian,0.5744769230769231,0.08857373353421064,0.6320187911450055,0.09502210358420624,0.03,0.03955615707739468,0.0
"X6,mean,above_5",Gaussian,0.5383538461538462,0.08652700915673364,0.5592234341342011,0.10144409192082894,0.0,0.013384463817010972,0.0
"X6,mean,count_3",Gaussian,0.5756461538461539,0.08068026015512236,0.6393631317649254,0.08311686328644607,0.02,0.02786410380837101,0.0
"X6,mean,count_5",Gaussian,0.5383538461538462,0.08652700915673364,0.5592234341342011,0.10144409192082894,0.0,0.013384463817010972,0.0
"X6,F_w_mean,above_4",Gaussian,0.5889538461538462,0.08242576146961673,0.6529222158186062,0.08007183889591445,0.02,0.04352300517382601,0.0
"X6,F_w_mean,above_5",Gaussian,0.5566461538461539,0.08187806780918613,0.5820335330318935,0.09312483011613495,0.0,0.01712060932800319,0.0
"X6,F_w_mean,count_3",Gaussian,0.5715230769230769,0.07921104907686798,0.6362176389223958,0.07551880389040844,0.0,0.02271278864097892,0.0
"X6,F_w_mean,count_5",Gaussian,0.5566461538461539,0.08187806780918613,0.5820335330318935,0.09312483011613495,0.0,0.01712060932800319,0.0
"X6,above_4,above_5",Gaussian,0.5526461538461539,0.09232142974701239,0.5932928138074566,0.10374705835180045,0.01,0.0273628635630907,0.0
"X6,above_4,count_3",Gaussian,0.5967384615384614,0.07097137684560549,0.6693738494611735,0.07322501531915322,0.01,0.030212473705201748,0.0
"X6,above_4,count_5",Gaussian,0.5526461538461539,0.09232142974701239,0.5932928138074566,0.10374705835180045,0.01,0.0273628635630907,0.0
"X6,above_5,count_3",Gaussian,0.5652,0.0893764804983514,0.6044161786013649,0.09721947256888216,0.01,0.03259991143995822,0.0
"X6,above_5,count_5",Gaussian,0.5506000000000001,0.08168054239485166,0.54813418453299,0.09906575918922454,0.01,0.014033038908508155,0.0
"X6,count_3,count_5",Gaussian,0.5652,0.0893764804983514,0.6044161786013649,0.09721947256888216,0.01,0.03259991143995822,0.0
"mean,F_w_mean,above_4",Gaussian,0.600276923076923,0.08229845526888686,0.6591259412116841,0.08449557504915868,0.02,0.05748390834876638,0.0
"mean,F_w_mean,above_5",Gaussian,0.5494461538461539,0.08576478636294535,0.5755042156874725,0.10230487143387092,0.01,0.017636029000622555,0.0
"mean,F_w_mean,count_3",Gaussian,0.5892769230769231,0.07202808623794327,0.6466121762782622,0.07358937460817691,0.0,0.025366870645715855,0.0
"mean,F_w_mean,count_5",Gaussian,0.5494461538461539,0.08576478636294535,0.5755042156874725,0.10230487143387092,0.01,0.017636029000622555,0.0
"mean,above_4,above_5",Gaussian,0.5494615384615384,0.08678297081610331,0.5883996764648104,0.09848101966645481,0.02,0.018746980606807573,0.0
"mean,above_4,count_3",Gaussian,0.5979538461538461,0.07863752661240037,0.6564891418366298,0.08867787767562098,0.01,0.04655898983351969,0.0
"mean,above_4,count_5",Gaussian,0.5494615384615384,0.08678297081610331,0.5883996764648104,0.09848101966645481,0.02,0.018746980606807573,0.0
"mean,above_5,count_3",Gaussian,0.562923076923077,0.08151218734882859,0.5890835795365124,0.09481957441606999,0.02,0.020196023383870942,0.0
"mean,above_5,count_5",Gaussian,0.5656153846153846,0.07789641885867357,0.5527239521009402,0.10145538822813327,0.01,0.017416370833618355,0.0
"mean,count_3,count_5",Gaussian,0.562923076923077,0.08151218734882859,0.5890835795365124,0.09481957441606999,0.02,0.020196023383870942,0.0
"F_w_mean,above_4,above_5",Gaussian,0.5693692307692308,0.09372655556956581,0.6113256630266207,0.1067227588884128,0.01,0.0432805772444701,0.0
"F_w_mean,above_4,count_3",Gaussian,0.5988461538461537,0.07295856812412024,0.6641891749135751,0.07189496553017036,0.03,0.036116379341551985,0.0
"F_w_mean,above_4,count_5",Gaussian,0.5693692307692308,0.09372655556956581,0.6113256630266207,0.1067227588884128,0.01,0.0432805772444701,0.0
"F_w_mean,above_5,count_3",Gaussian,0.5701846153846154,0.07675143311500511,0.6033670235579303,0.08312981663951725,0.01,0.01865999086534753,0.0
"F_w_mean,above_5,count_5",Gaussian,0.5541230769230769,0.08105148630316822,0.5545042603104602,0.10178474422610678,0.01,0.015005667334599737,0.0
"F_w_mean,count_3,count_5",Gaussian,0.5701846153846154,0.07675143311500511,0.6033670235579303,0.08312981663951725,0.01,0.01865999086534753,0.0
"above_4,above_5,count_3",Gaussian,0.5861384615384615,0.07860875931739489,0.6346322473168201,0.08353643080634808,0.01,0.03361782817829906,0.0
"above_4,above_5,count_5",Gaussian,0.5684307692307692,0.07720516891056502,0.5491853584839035,0.10213241654242981,0.01,0.018186829860112663,0.0
"above_4,count_3,count_5",Gaussian,0.5861384615384615,0.07860875931739489,0.6346322473168201,0.08353643080634808,0.01,0.03361782817829906,0.0
"above_5,count_3,count_5",Gaussian,0.5728615384615384,0.08655224368884937,0.5426741924829325,0.12179732794892727,0.03,0.03472101357501456,0.0
"X1,X3,X5,X6",Gaussian,0.5576307692307693,0.08888804739904124,0.6154899186156846,0.09246926533906934,0.02,0.026240186520210318,0.0
"X1,X3,X5,mean",Gaussian,0.5614461538461538,0.08284635240316182,0.6120834858683303,0.08769191627076961,0.0,0.020948815846193347,0.0
"X1,X3,X5,F_w_mean",Gaussian,0.5532153846153847,0.08342579028817829,0.6127692909256744,0.08646458033517018,0.0,0.017042515874606923,0.0
"X1,X3,X5,above_4",Gaussian,0.5826153846153846,0.08195611468174788,0.640544673110271,0.0817130368399318,0.01,0.036061904581238924,0.0
"X1,X3,X5,above_5",Gaussian,0.5761846153846154,0.07935613084670007,0.6067259752672883,0.08687974000628647,0.01,0.02629378008820904,0.0
"X1,X3,X5,count_3",Gaussian,0.5806923076923077,0.07790978700550145,0.6356620967520401,0.07876944434214722,0.0,0.02765597686640142,0.0
"X1,X3,X5,count_5",Gaussian,0.5761846153846154,0.07935613084670007,0.6067259752672883,0.08687974000628647,0.01,0.02629378008820904,0.0
"X1,X3,X6,mean",Gaussian,0.5488461538461538,0.08697122560272585,0.6099207765125958,0.08672548928647908,0.02,0.018629393918836556,0.0
"X1,X3,X6,F_w_mean",Gaussian,0.5591692307692308,0.08617511275984267,0.6178785597553612,0.08488412344008352,0.02,0.023719045028103736,0.0
"X1,X3,X6,above_4",Gaussian,0.5798461538461538,0.08440996043192026,0.6511126857834669,0.08121121577502813,0.03,0.03763102460827983,0.0
"X1,X3,X6,above_5",Gaussian,0.5718769230769231,0.07539751224059722,0.5963527802412407,0.08949649141801692,0.02,0.017988280969755244,0.0
"X1,X3,X6,count_3",Gaussian,0.5679692307692309,0.08488666443450685,0.6366600061196411,0.07970595154979812,0.02,0.028144629405985166,0.0
"X1,X3,X6,count_5",Gaussian,0.5718769230769231,0.07539751224059722,0.5963527802412407,0.08949649141801692,0.02,0.017988280969755244,0.0
"X1,X3,mean,F_w_mean",Gaussian,0.5540307692307692,0.07598980934480856,0.6144730588793551,0.07422115956037897,0.0,0.010287460489856626,0.0
"X1,X3,mean,above_4",Gaussian,0.5754769230769231,0.07907327737779858,0.6395660855467225,0.07874474133593681,0.03,0.02534022121066415,0.0
"X1,X3,mean,above_5",Gaussian,0.5723076923076923,0.0760915051747783,0.6008085620036097,0.09149480822523273,0.02,0.019113909917413796,0.0
"X1,X3,mean,count_3",Gaussian,0.5686769230769231,0.08028013674022724,0.6320694578313478,0.0812243829679051,0.02,0.022241973550055416,0.0
"X1,X3,mean,count_5",Gaussian,0.5723076923076923,0.0760915051747783,0.6008085620036097,0.09149480822523273,0.02,0.019113909917413796,0.0
"X1,X3,F_w_mean,above_4",Gaussian,0.569076923076923,0.0761373719554597,0.6356119907451075,0.07452896482406422,0.01,0.01727521269901855,0.0
"X1,X3,F_w_mean,above_5",Gaussian,0.584123076923077,0.07321553817043072,0.6195258337381968,0.08135692274204125,0.03,0.02316188308601308,0.0
"X1,X3,F_w_mean,count_3",Gaussian,0.5650923076923078,0.07741892342406997,0.62761587292212,0.07677044347588001,0.01,0.016582935410019317,0.0
"X1,X3,F_w_mean,count_5",Gaussian,0.584123076923077,0.07321553817043072,0.6195258337381968,0.08135692274204125,0.03,0.02316188308601308,0.0
"X1,X3,above_4,above_5",Gaussian,0.5687384615384616,0.08088325431387122,0.6160689403342436,0.09017916177974263,0.03,0.023089319248767226,0.0
"X1,X3,above_4,count_3",Gaussian,0.5897230769230769,0.07478850020767638,0.6567090323297967,0.07625527686171392,0.01,0.030351794899380558,0.0
